"","Year.range","State","Total.subsidy_USA","Total.subsidy_foreign","Total.subsidy_mega.deal_USA","Total.subsidy_mega.deal_foreign","Undisclosed.deal.share_USA","Undisclosed.deal.share_foreign","% total.subsidy.to.foreign","% total.subsidy_mega.to.foreign"
"155","2017 onwards","Michigan",4.1e+07,NA,0,NA,0,NA,NA,NA
"156","2017 onwards","Missouri",3.2e+07,NA,0,NA,0,NA,NA,NA
"157","2017 onwards","New Jersey",46095000,49790000,0,0,0,0,0.519267872972832,NA
"158","2017 onwards","New York",1.8e+07,NA,0,NA,0,NA,NA,NA
"159","2017 onwards","North Carolina",2675967,6482206,0,0,0,0,0.707805585240637,NA
"160","2017 onwards","Oregon",185600000,NA,1.76e+08,NA,0,NA,NA,NA
"161","2017 onwards","Pennsylvania",13497000,11780000,0,0,0,0,0.466036317600981,NA
"162","2017 onwards","Tennessee",7366849,3142572,0,0,0,0,0.29902427545723,NA
"163","2017 onwards","Texas",602762480,NA,4.6e+08,NA,0,NA,NA,NA
"164","2017 onwards","Virginia",4729171,NA,0,NA,0,NA,NA,NA
"165","2017 onwards","Wisconsin",15000,3255400000,0,3252400000,0,0,0.999995392292534,1
